Date,Open,High,Low,Close,Volume,Market Cap
30-Aug-17,4570.36,4626.52,4471.41,4565.3,1937850000,75556600000
29-Aug-17,4389.21,4625.68,4352.13,4579.02,2486080000,72553800000
28-Aug-17,4384.45,4403.93,4224.64,4382.66,1959330000,72467900000
27-Aug-17,4345.1,4416.59,4317.29,4382.88,1537460000,71809200000
26-Aug-17,4372.06,4379.28,4269.52,4352.4,1511610000,72249100000
25-Aug-17,4332.82,4455.7,4307.35,4371.6,1727970000,71595100000
24-Aug-17,4137.6,4376.39,4130.26,4334.68,2037750000,68363900000
23-Aug-17,4089.01,4255.78,4078.41,4151.52,2369820000,67553000000
22-Aug-17,3998.35,4128.76,3674.58,4100.52,3764240000,66051000000
21-Aug-17,4090.48,4109.14,3988.6,4001.74,2800890000,67567100000
20-Aug-17,4189.31,4196.29,4069.88,4087.66,2109770000,69192700000
19-Aug-17,4137.75,4243.26,3970.55,4193.7,2975820000,68333100000
18-Aug-17,4324.34,4370.13,4015.4,4160.62,2941710000,71406500000
17-Aug-17,4384.44,4484.7,4243.71,4331.69,2553360000,72389100000
16-Aug-17,4200.34,4381.23,3994.42,4376.63,2272040000,69342700000
15-Aug-17,4326.99,4455.97,3906.18,4181.93,3258050000,71425500000
14-Aug-17,4066.1,4325.13,3989.16,4325.13,2463090000,67112300000
13-Aug-17,3880.04,4208.39,3857.8,4073.26,3159090000,64034100000
12-Aug-17,3650.63,3949.92,3613.7,3884.71,2219590000,60242100000
11-Aug-17,3373.82,3679.72,3372.12,3650.62,2021190000,55668000000
10-Aug-17,3341.84,3453.45,3319.47,3381.28,1515110000,55134700000
09-Aug-17,3420.4,3422.76,3247.67,3342.47,1468960000,56424900000
08-Aug-17,3370.22,3484.85,3345.83,3419.94,1752760000,55590300000
07-Aug-17,3212.78,3397.68,3180.89,3378.94,1482280000,52987300000
06-Aug-17,3257.61,3293.29,3155.6,3213.94,1105030000,53720900000
05-Aug-17,2897.63,3290.01,2874.83,3252.91,1945700000,47778200000
04-Aug-17,2806.93,2899.33,2743.72,2895.89,1002120000,46276200000
03-Aug-17,2709.56,2813.31,2685.14,2804.73,804797000,44666400000
02-Aug-17,2727.13,2762.53,2668.59,2710.67,1094950000,44950800000
01-Aug-17,2871.3,2921.35,2685.61,2718.26,1324670000,47321800000
31-Jul-17,2763.24,2889.62,2720.61,2875.34,860575000,45535800000
30-Jul-17,2724.39,2758.53,2644.85,2757.18,705943000,44890700000
29-Jul-17,2807.02,2808.76,2692.8,2726.45,803746000,46246700000
28-Jul-17,2679.73,2897.45,2679.73,2809.01,1380100000,44144400000
27-Jul-17,2538.71,2693.32,2529.34,2671.78,789104000,41816500000
26-Jul-17,2577.77,2610.76,2450.8,2529.45,937404000,42455000000
25-Jul-17,2757.5,2768.08,2480.96,2576.48,1460090000,45410100000
24-Jul-17,2732.7,2777.26,2699.19,2754.86,866474000,44995600000
23-Jul-17,2808.1,2832.18,2653.94,2730.4,1072840000,46231100000
22-Jul-17,2668.63,2862.42,2657.71,2810.12,1177130000,43929600000
21-Jul-17,2838.41,2838.41,2621.85,2667.76,1489450000,46719000000
20-Jul-17,2269.89,2900.7,2269.89,2817.6,2249260000,37356800000
19-Jul-17,2323.08,2397.17,2260.23,2273.43,1245100000,38227800000
18-Jul-17,2233.52,2387.61,2164.77,2318.88,1512450000,36749400000
17-Jul-17,1932.62,2230.49,1932.62,2228.41,1201760000,31795000000
16-Jul-17,1991.98,2058.77,1843.03,1929.82,1182870000,32767600000
15-Jul-17,2230.12,2231.14,1990.41,1998.86,993608000,36681300000
14-Jul-17,2360.59,2363.25,2183.22,2233.34,882503000,38823100000
13-Jul-17,2402.7,2425.22,2340.83,2357.9,835770000,39511000000
12-Jul-17,2332.77,2423.71,2275.14,2398.84,1117410000,38355900000
