DATE,SP500
1503421200,2448.3799
1503421260,2448.6799
1503421320,2448.6599
1503421380,2449.3701
1503421440,2449.22
1503421500,2449.21
1503421560,2448.78
1503421620,2448.6499
1503421680,2448.71
1503421740,2448.76
1503421800,2448.99
1503421860,2448.9199
1503421920,2448.95
1503421980,2449.28
1503422040,2449.28
1503422100,2448.6699
1503422160,2448.22
1503422220,2448.52
1503422280,2448.53
1503422340,2448.47
1503422400,2448.48
1503422460,2448.4299
1503422520,2448.51
1503422580,2448.74
1503422640,2448.6101
1503422700,2448.47
1503422760,2448.6101
1503422820,2448.7
1503422880,2448.8899
1503422940,2449.01
1503423000,2449.0801
1503423060,2448.77
1503423120,2448.7
1503423180,2448.77
1503423240,2448.6899
1503423300,2448.99
1503423360,2449.26
1503423420,2449.3501
1503423480,2449.3201
1503423540,2449.1201
1503423600,2449.1101
1503423660,2448.98
1503423720,2448.53
1503423780,2448.1799
1503423840,2448.3501
1503423900,2448.29
1503423960,2448.3101
1503424020,2448.55
1503424080,2448.51
1503424140,2448.71
1503424200,2448.78
1503424260,2448.72
1503424320,2448.46
1503424380,2448.3999
1503424440,2448.1499
1503424500,2447.95
1503424560,2447.8301
1503424620,2447.8999
1503424680,2447.8799
1503424740,2448.1299
1503424800,2448.3201
1503424860,2448.0801
1503424920,2448.3601
1503424980,2448.4299
1503425040,2448.0901
1503425100,2448.04
1503425160,2447.8601
1503425220,2447.71
1503425280,2447.6899
1503425340,2447.8701
1503425400,2448.03
1503425460,2447.8799
1503425520,2448.23
1503425580,2448.1001
1503425640,2448.1899
1503425700,2448.3201
1503425760,2448.8799
1503425820,2449.05
1503425880,2449.28
1503425940,2449.8201
1503426000,2450.28
1503426060,2450.4399
1503426120,2450.3301
1503426180,2450.1201
1503426240,2450.3301
1503426300,2450.47
1503426360,2450.1101
1503426420,2451.1299
1503426480,2450.6499
1503426540,2450.97
1503426600,2451.1799
1503426660,2451.0601
1503426720,2451.1599
1503426780,2452.26
1503426840,2452.1001
1503426900,2452.03
1503426960,2451.8799
1503427020,2452.27
1503427080,2452.28
1503427140,2452.1201
1503427200,2452.02
1503427260,2451.21
1503427320,2451.46
1503427380,2451.48
1503427440,2451.55
1503427500,2451.6101
1503427560,2450.8601
1503427620,2450.9299
1503427680,2450.96
1503427740,2450.98
1503427800,2450.99
1503427860,2450.73
1503427920,2450.7
1503427980,2451.21
1503428040,2451.5701
1503428100,2451.3899
1503428160,2451.27
1503428220,2451.22
1503428280,2451.5
1503428340,2451.47
1503428400,2451.7
1503428460,2451.51
1503428520,2451.52
1503428580,2451.3201
1503428640,2451.51
1503428700,2451.24
1503428760,2451.3
1503428820,2451.28
1503428880,2451.51
1503428940,2452
1503429000,2451.9299
1503429060,2452.01
1503429120,2452.51
1503429180,2452.3501
1503429240,2452.26
1503429300,2451.95
1503429360,2452.5
1503429420,2452.6299
1503429480,2452.6299
1503429540,2452.3899
1503429600,2452.75
1503429660,2452.51
1503429720,2452.26
1503429780,2452.2
1503429840,2451.8
1503429900,2451.71
1503429960,2452.01
1503430020,2451.99
1503430080,2452.25
1503430140,2451.95
1503430200,2452.3
1503430260,2452.49
1503430320,2452.24
1503430380,2452
1503430440,2451.8999
1503430500,2452.8401
1503430560,2452.3401
1503430620,2452.21
1503430680,2452.1399
1503430740,2452.24
1503430800,2452.01
1503430860,2452.9099
1503430920,2453.46
1503430980,2453.5801
1503431040,2453.51
1503431100,2453.49
1503431160,2454.3701
1503431220,2454.76
1503431280,2454.53
1503431340,2453.9399
1503431400,2453.55
1503431460,2453.6399
1503431520,2453.5801
1503431580,2453.1899
1503431640,2453.3799
1503431700,2453.49
1503431760,2453.1001
1503431820,2452.73
1503431880,2451.9099
1503431940,2452.49
1503432000,2452.49
1503495000,2441.6399
1503495060,2443.24
1503495120,2443.74
1503495180,2443.8999
1503495240,2442.5
1503495300,2442.25
1503495360,2443.54
1503495420,2443.5701
1503495480,2444.74
1503495540,2445.0701
1503495600,2445.1899
1503495660,2444.3301
1503495720,2443.4399
1503495780,2443.6799
1503495840,2443.97
1503495900,2444.1699
1503495960,2445.3999
1503496020,2445.8201
1503496080,2445.6899
1503496140,2445.46
1503496200,2444.3101
1503496260,2445.26
1503496320,2445.9299
1503496380,2445.4299
1503496440,2445.6599
1503496500,2446.2
1503496560,2446.6201
1503496620,2446.54
1503496680,2446.3101
1503496740,2446.8301
1503496800,2445.8899
1503496860,2444.95
1503496920,2444.8
1503496980,2444.8
1503497040,2445.2
1503497100,2445.1899
1503497160,2443.9399
1503497220,2443.1799
1503497280,2442.9099
1503497340,2443.21
1503497400,2443.75
1503497460,2443.9099
1503497520,2443.8201
1503497580,2444.5801
1503497640,2444.9199
1503497700,2445.3999
